name,formula,mw,ph,qty,purity,cas,hazard
Pyridine,C5H5N,79.1,8.5,250ml,99.8,110-86-1,DANGER
Saponin,C30H48O3,456.7,7.0,25g,90.0,8047-15-2,WARNING
Silver Nitrate,AgNO3,169.87,5.4,25g,99.8,7761-88-8,WARNING
Sodium Bicarbonate,NaHCO3,84.01,8.3,500g,99.5,144-55-8,SAFE
Sodium Carbonate,Na2CO3,105.99,11.5,500g,99.5,497-19-8,WARNING
Sodium Chloride,NaCl,58.44,7.0,1000g,99.9,7647-14-5,SAFE
Sodium Dodecyl Sulfate,C12H25NaO4S,288.38,7.0,100g,99.0,151-21-3,WARNING
Sodium Hydroxide,NaOH,40.0,13.0,500g,97.0,1310-73-2,DANGER
Sodium Hypochlorite,NaClO,74.44,11.0,500ml,5.0,7681-52-9,DANGER
Sodium Phosphate,Na3PO4,163.94,11.5,500g,96.0,7601-54-9,WARNING
Streptomycin,C21H39N7O12,581.58,7.0,5g,95.0,57-92-1,INFO
Sucrose,C12H22O11,342.3,7.0,1000g,99.9,57-50-1,SAFE
Sulfuric Acid,H2SO4,98.08,1.0,500ml,95.0,7664-93-9,DANGER
TEMED,C6H16N2,116.21,7.0,25ml,99.0,110-18-9,WARNING
Tetracycline,C22H24N2O8,444.43,7.0,5g,95.0,60-54-8,INFO
Toluene,C7H8,92.14,7.0,500ml,99.5,108-88-3,DANGER
Trichloroacetic Acid,C2HCl3O2,163.39,1.2,100g,99.0,76-03-9,DANGER
Triethanolamine,C6H15NO3,149.19,10.5,250ml,99.0,102-71-6,WARNING
Urea,CH4N2O,60.06,7.0,500g,99.0,57-13-6,WARNING
Xylene Cyanol,C25H27N2NaO6S,538.54,7.0,5g,95.0,2650-17-1,INFO
Zinc Chloride,ZnCl2,136.28,4.0,100g,98.0,7646-85-7,WARNING
Zinc Sulfate,ZnSO4,161.47,4.5,100g,99.0,7733-02-0,WARNING
beta-Mercaptoethanol,C2H6OS,78.13,7.0,100ml,99.0,60-24-2,DANGER
